# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
GJ 674 b,0.04,1.13,4.6944,0.039,0.07,,2007,Radial Velocity,GJ 674,-0.28,0.35,,M2.5,0.55,3600,,
GJ 676 A b,6.7,,1052.1,1.812,0.323,45,2009,Radial Velocity,GJ 676 A,0.23,0.71,,M0V,,,,
GJ 676 A c,6.8,,7337,6.6,0.2,,2012,Radial Velocity,GJ 676 A,0.23,0.71,,M0V,,,,
GJ 676 A d,0.014,,3.6,0.0413,0.15,,2012,Radial Velocity,GJ 676 A,0.23,0.71,,M0V,,,,
GJ 676 A e,0.036,,35.37,0.187,0.24,,2012,Radial Velocity,GJ 676 A,0.23,0.71,,M0V,,,,
GJ 682 b,0.013843879,,17.478,0.08,0.08,,2014,Radial Velocity,GJ 682,,0.27,,M3.5V,,3028,,
GJ 682 c,0.027365121,,57.32,0.176,0.1,,2014,Radial Velocity,GJ 682,,0.27,,M3.5V,,3028,,
GJ 687 b,0.058,,38.14,0.16353,0.04,,2014,Radial Velocity,GJ 687,,0.413,0.4183,M3.5V,,3413,,
GJ 758 b,45,,109000,44.8,0.564,43.6,2009,Imaging,GJ 758,0.18,0.97,0.88,K0V,8.2,5425,,
GJ 785 b,0.0532,,74.72,0.32,0.13,,2010,Radial Velocity,GJ 785,0.08,0.78,0.68,K1V,,5144,IR Excess,
GJ 785 c,0.076,,525.8,1.18,0.32,,2011,Radial Velocity,GJ 785,0.08,0.78,0.68,K1V,,5144,IR Excess,
GJ 832 b,0.689047604,,3416,3.6,0.08,,2008,Radial Velocity,GJ 832,-0.31,0.45,,,,,,
GJ 832 c,0.01573168,,35.67,0.162,0.03,,2014,Radial Velocity,GJ 832,-0.31,0.45,,,,,,
GJ 849 b,0.9,,1914,2.35,0.012,,2006,Radial Velocity,GJ 849,0.22,0.49,0.52,M3.5V,,,,
GJ 849 c,0.77,,7049,,0.218,,2013,Radial Velocity,GJ 849,0.22,0.49,0.52,M3.5V,,,,
GJ 86 A b,4.01,,15.766,0.11,0.046,,2000,Radial Velocity,GJ 86,-0.24,0.8,0.855,K1V,2.03,5350,,
GJ 876 b,1.938,,61.03,0.208317,0,84,2000,Radial Velocity,GJ 876,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 c,0.856,,30.23,0.12959,0.002,48.07,2000,Radial Velocity,GJ 876,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 d,0.022,,1.94,0.02080665,0.081,50,2005,Radial Velocity,GJ 876,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 e,0.045,,124.69,0.3343,0.073,59.5,2010,Radial Velocity,GJ 876,0.05,0.334,0.36,M4 V,2.5,3350,,
GP Com b,26.2,,0.032,,,55.5,2016,Other,GP Com,,0.33,,DBe D,,,,
GQ Lup b,21.5,1.8,,103,,,2005,Imaging,GQ Lup,,0.7,,K7eV,0.001,,Imaging,
GSC 6214-210 b,17,,,320,,,2010,Imaging,GSC 6214-210,,0.6,,M1,0.011,,,
GU Psc b,11,1.35,,2000,,,2014,Imaging,GU Psc,,0.35,,M3,0.1,,,
HAT-36 b,2.79,1.263,4.1752379,0.0529,0.294,87.57,2017,Primary Transit,HATS-36,0.13,1.135,1.186,G0V,3.4,5970,,
HAT-P-1 b,0.525,1.319,4.46529976,0.05561,0.067,85.634,2006,Primary Transit,HAT-P-1,0.13,1.151,1.174,GOV,3.6,5980,,
HAT-P-11 b,0.082434006,0.421983089,4.887802443,0.053,0.265,89.05,2009,Primary Transit,HAT-P-11,0.31,0.81,0.75,K4,6.5,4780,,
HAT-P-12 b,0.210489885,0.954591765,3.2130598,0.0384,0,,2009,Primary Transit,HAT-P-12,-0.29,0.73,0.7,,2.5,4650,,
HAT-P-13 b,0.85,1.28,2.916243,0.0426,0.0142,83.3,2009,Primary Transit,HAT-P-13,0.43,1.22,1.56,G4,5,5638,,
HAT-P-13 c,14.28,,446.27,1.186,0.6616,,2009,Radial Velocity,HAT-P-13,0.43,1.22,1.56,G4,5,5638,,
HAT-P-14 b,2.2,1.2,4.627657,0.0594,0.095,83.2,2010,Primary Transit,HAT-P-14,0.11,1.386,1.468,F,1.3,6600,,
HAT-P-15 b,1.946,1.072,10.863502,0.0964,0.19,89.1,2010,Primary Transit,HAT-P-15,0.22,1.013,1.08,G5,6.8,5568,,
HAT-P-16 b,4.193,1.289,2.77596,0.0413,0.036,86.6,2010,Primary Transit,HAT-P-16,0.17,1.218,1.237,F8,2,6158,,
HAT-P-17 b,0.534,1.01,10.338523,0.0882,0.346,89.2,2010,Primary Transit,HAT-P-17,0,0.857,0.837,K,7.8,5246,,
HAT-P-17 c,1.4,,1798,2.75,0.1,,2010,Radial Velocity,HAT-P-17,0,0.857,0.837,K,7.8,5246,,
HAT-P-18 b,0.183,0.947,5.508029,0.0559,0.106,88.79,2010,Primary Transit,HAT-P-18,0.1,0.77,0.717,K,12.4,4870,,
HAT-P-19 b,0.292,1.132,4.008784,0.0466,0.067,88.51,2010,Primary Transit,HAT-P-19,0.23,0.842,0.82,K,8.8,4990,,
HAT-P-2 b,8.74,0.951,5.6334729,0.0674,0.5171,90,2007,Primary Transit,HAT-P-2,0.04,1.34,1.54,F8,2.7,6414,,
HAT-P-20 b,7.246,0.867,2.875317,0.0361,0.015,81.9,2010,Primary Transit,HAT-P-20,0.35,0.756,0.694,K7,6.7,4595,,
HAT-P-21 b,4.063,1.024,4.124461,0.0494,0.228,87.2,2010,Primary Transit,HAT-P-21,0.01,0.947,1.105,G3,10.2,5588,,
HAT-P-22 b,2.147,1.08,3.21222,0.0414,0.016,73.6,2010,Primary Transit,HAT-P-22,0.24,0.916,1.04,G5,12.4,5302,,
HAT-P-23 b,2.09,1.368,1.212884,0.0232,0.106,85.1,2010,Primary Transit,HAT-P-23,0.16,1.13,1.29,G5,4,5924,,
HAT-P-24 b,0.685,1.242,3.35524,0.0465,0.067,88.6,2010,Primary Transit,HAT-P-24,-0.16,1.191,1.317,F8,2.8,6373,,
HAT-P-25 b,0.567,1.19,3.652836,0.0466,0.032,87.6,2010,Primary Transit,HAT-P-25,0.31,1.01,0.959,G5,3.2,5500,,
HAT-P-26 b,0.058521851,0.564725782,4.234516,0.0479,0.124,88.6,2010,Primary Transit,HAT-P-26,-0.04,0.816,0.788,K1,9,5079,,
HAT-P-27-WASP-40 b,0.66,1.055,3.0395803,0.0403,0.078,85.08,2011,Primary Transit,HAT-P-27-WASP-40,0.29,0.945,0.898,G8,4.4,5300,,
HAT-P-28 b,0.626,1.212,3.257215,0.0434,0.051,88,2011,Primary Transit,HAT-P-28,0.12,1.025,1.103,G3,6.1,5680,,
HAT-P-29 b,0.778,1.107,5.723186,0.0667,0.095,87.1,2011,Primary Transit,HAT-P-29,0.21,1.207,1.224,F8,2.2,6087,,
HAT-P-3 b,0.591,0.827,2.899703,0.03866,0,87.07,2007,Primary Transit,HAT-P-3,0.41,0.917,0.799,K,1.6,5224,,
HAT-P-30-WASP-51 b,0.711,1.34,2.810595,0.0419,0.035,83.6,2011,Primary Transit,HAT-P-30-WASP-51,-0.08,1.18,1.33,F,1,6250,,
HAT-P-31 b,2.171,1.07,5.005425,0.055,0.245,87.1,2011,Primary Transit,HAT-P-31,0.15,1.218,1.36,,3.17,6065,,
HAT-P-32 b,0.941,2.037,2.150009,0.0344,0.163,88.7,2011,Primary Transit,HAT-P-32,-0.16,1.176,1.387,F/G,3.8,6001,,
HAT-P-33 b,0.763,1.827,3.474474,0.0503,0.148,86.7,2011,Primary Transit,HAT-P-33,0.05,1.403,1.777,F,2.4,6401,,
HAT-P-34 b,3.328,1.107,5.452654,0.0677,0.441,87.1,2012,Primary Transit,HAT-P-34,0.08,1.36,1.45,,1.7,6509,,
HAT-P-35 b,1.054,1.332,3.646706,0.0498,0.025,87.3,2012,Primary Transit,HAT-P-35,0.11,1.236,1.435,,3.5,6096,,
HAT-P-36 b,1.832,1.264,1.327347,0.0238,0.063,86,2012,Primary Transit,HAT-P-36,0.26,1.022,1.096,,6.6,5580,,
HAT-P-37 b,1.169,1.178,2.797436,0.0379,0.058,86.9,2012,Primary Transit,HAT-P-37,0.03,0.929,0.877,,3.6,5500,,
HAT-P-38 b,0.267,0.825,4.640382,0.0523,0.067,88.3,2012,Primary Transit,HAT-P-38,0.06,0.886,0.923,G,10.1,5330,,
HAT-P-39 b,0.599,1.571,3.54387,0.0509,,87,2012,Primary Transit,HAT-P-39,0.19,1.404,1.625,,2,6430,,
HAT-P-4 b,0.68,1.27,3.0565114,0.0446,0,89.67,2007,Primary Transit,HAT-P-4,0.2,1.26,1.59,F,4.2,5890,,
HAT-P-40 b,0.615,1.73,4.457243,0.0608,,88.3,2012,Primary Transit,HAT-P-40,0.22,1.512,2.206,,2.7,6080,,
HAT-P-41 b,0.8,1.685,2.694047,0.0426,,87.7,2012,Primary Transit,HAT-P-41,0.13,1.28,1.19,,2.2,6479,,
HAT-P-42 b,0.975,1.277,4.641876,0.0575,0,85.9,2012,Primary Transit,HAT-P-42,0.27,1.179,1.528,,5.1,5743,,
HAT-P-43 b,0.66,1.283,3.332688,0.0443,0,88.7,2012,Primary Transit,HAT-P-43,0.23,1.048,1.104,,5.7,5645,,
HAT-P-44 b,0.392,1.28,4.301217,0.0507,0.072,89,2013,Primary Transit,HAT-P-44,0.33,0.939,0.979,,8.9,5295,,
HAT-P-44 c,1.6,,219.9,0.699,,,2013,Primary Transit,HAT-P-44,0.33,0.939,0.979,,8.9,5295,,
HAT-P-45 b,0.892,1.426,3.128992,0.0452,0.049,87.8,2013,Primary Transit,HAT-P-45,0.07,1.259,1.319,,2,6330,,
HAT-P-46 b,0.493,1.284,4.463129,0.0577,0.123,85.5,2013,Primary Transit,HAT-P-46,0.3,1.284,1.396,,2.5,6120,,
HAT-P-46 c,2,,77.7,0.387,,,2013,Primary Transit,HAT-P-46,0.3,1.284,1.396,,2.5,6120,,
HAT-P-47 b,0.206,1.313,4.732182,0.0615,0,84.8,2016,Primary Transit,HAT-P-47,0,1.387,1.515,,1.5,6703,,
HAT-P-48 b,0.168,1.131,4.40865,0.0543,0,86.8,2016,Primary Transit,HAT-P-48,0.02,1.099,1.223,,4.7,5946,,
HAT-P-49 b,1.73,1.413,2.691548,0.0438,0,86.2,2014,Primary Transit,HAT-P-49,0.074,1.543,1.833,A5,1.5,6820,,
HAT-P-5 b,1.06,1.252,2.788491,0.04079,0,86.75,2007,Primary Transit,HAT-P-5,0.24,1.163,1.137,,1.7,5960,,
HAT-P-50 b,1.36,1.288,3.1220109,0.0453,0.115,83.65,2015,Primary Transit,HAT-P-50,-0.18,1.273,1.698,,3.37,6280,,
HAT-P-51 b,0.309,1.293,4.2180278,0.05069,0.123,88.48,2015,Primary Transit,HAT-P-51,0.27,0.976,1.041,,8.2,5449,,
HAT-P-52 b,0.819,1.009,2.7535953,0.03694,0.047,87.02,2015,Primary Transit,HAT-P-52,0.28,0.887,0.893,,9.4,5131,,
HAT-P-53 b,1.487,1.318,1.9616241,0.03159,0.134,86.2,2015,Primary Transit,HAT-P-53,0,1.093,1.209,,4.67,5956,,
HAT-P-54 b,0.76,0.944,3.799847,0.04117,0.074,87.04,2014,Primary Transit,HAT-P-54,-0.127,0.645,0.617,K,3.9,4390,,
HAT-P-55 b,0.582,1.182,3.5852467,0.04604,0.139,87.7,2015,Primary Transit,HAT-P-55,-0.03,1.013,1.011,,4.2,5808,,
HAT-P-56 b,2.2,1.466,2.7908327,0.0423,0.246,82.13,2015,Primary Transit,HAT-P-56,-0.077,1.296,1.428,F,2.01,6566,,
HAT-P-57 b,1.85,1.413,2.465295,0.0406,0,88.26,2015,Primary Transit,HAT-P-57,-0.25,1.47,1.5,,1,7500,,
HAT-P-6 b,1.057,1.33,3.853003,0.05235,0,85.51,2007,Primary Transit,HAT-P-6,-0.13,1.29,1.46,F,2.3,6570,,
HAT-P-65 b,0.527,1.89,2.6054552,0.03951,0.3,84.2,2016,Primary Transit,HAT-P-65,0.1,1.212,1.86,,5.46,5835,,
HAT-P-66 b,0.783,1.59,2.972086,0.04363,0,86.2,2016,Primary Transit,HAT-P-66,0.035,1.255,1.881,,4.66,6002,,
HAT-P-67 b,0.34,2.085,4.81010205,0.06505,0.24,88.8,2017,Primary Transit,HAT-P-67,-0.08,1.642,1.546,F,1.24,6406,,
HAT-P-7 b,1.741,1.431,2.204735471,0.0379,0,84.1,2008,Primary Transit,HAT-P-7,0.13,1.51,2,,2.07,6259,,
HAT-P-8 b,1.34,1.5,3.0763402,0.0449,0,87.8,2008,Primary Transit,HAT-P-8,0.01,1.28,1.58,,3.4,6200,,
HAT-P-9 b,0.67,1.4,3.922814,0.053,0,86.5,2008,Primary Transit,HAT-P-9,0.12,1.28,1.32,F,1.6,6350,,
HATS-1 b,1.855,1.302,3.446459,0.0444,0.12,85.6,2012,Primary Transit,HATS-1,-0.06,0.986,1.038,,6,5870,,
HATS-10 b,0.526,0.969,3.312846,0.0449,0.5,87.79,2015,Primary Transit,HATS-10,0.15,1.1,1.105,,3.3,5880,,
HATS-11 b,0.85,1.51,3.6191613,0.04614,0.34,88.31,2016,Primary Transit,HATS-11,-0.39,1,1.44,G0,7.7,6060,,
HATS-12 b,2.4,1.35,3.142833,0.04795,0.085,82.7,2016,Primary Transit,HATS-12,-0.1,1.49,2.21,F,2.36,6408,,
HATS-13 b,0.543,1.212,3.0440499,0.04057,0.18,88.55,2015,Primary Transit,HATS-13,0.05,0.962,0.887,,2.5,5523,,
HATS-14 b,1.071,1.039,2.7667641,0.03815,0.142,88.83,2015,Primary Transit,HATS-14,0.33,0.967,0.933,,4.9,5346,,
HATS-15 b,2.17,1.105,1.74748753,0.02712,0,87.13,2014,Primary Transit,HATS-15,0,0.871,0.922,,11,5311,,
HATS-16 b,3.27,1.3,2.686502,0.03744,0,83.53,2015,Primary Transit,HATS-16,0.1,0.97,1.238,,9.5,5738,,
HATS-17 b,1.338,0.777,16.254611,0.1308,0.029,89.08,2016,Primary Transit,HATS-17,0.3,1.131,1.091,G,2.1,5846,,
HATS-18 b,1.98,1.337,0.8378434,0.01761,0.166,85.5,2016,Primary Transit,HATS-18,0.28,1.037,1.02,G,4.2,5600,,
HATS-19 b,0.427,1.66,4.569673,0.0589,0.3,86.6,2016,Primary Transit,HATS-19,0.24,1.303,1.74,G0,3.94,5896,,
HATS-2 b,1.345,1.168,1.354133,0.023,0,87.2,2013,Primary Transit,HATS-2,0.15,0.882,0.898,K,9.7,5227,,
HATS-20 b,0.273,0.776,3.7992969,0.04619,0.5,87.16,2016,Primary Transit,HATS-20,0.03,0.91,0.892,G9V,6.4,5406,,
HATS-21 b,0.332,1.123,3.5543973,0.04676,0,85.04,2016,Primary Transit,HATS-21,0.3,1.08,1.021,G4V,2.3,5695,,
HATS-22 b,2.74,0.953,4.7228124,0.05025,0.079,87.96,2016,Primary Transit,HATS-22,0,0.759,0.689,,4.6,4803,,
HATS-23 b,1.47,1.86,2.1605156,0.03397,0.114,81.02,2015,Primary Transit,HATS-23,0.28,1.121,1.199,,4.2,5780,,
HATS-24 b,2.44,1.487,1.3484954,0.02547,0.24,86.6,2016,Primary Transit,HATS-24,0,1.212,1.172,,0.88,6346,,
HATS-25 b,0.613,1.26,4.2986432,0.05163,0.088,86.93,2016,Primary Transit,HATS-25,0.02,0.994,1.107,G,7.5,5715,,
HATS-26 b,0.65,1.75,3.3023881,0.04735,0.122,86.2,2016,Primary Transit,HATS-26,-0.02,1.299,2.04,F,4.04,6071,,
HATS-27 b,0.53,1.5,4.637038,0.0611,0.29,87.3,2016,Primary Transit,HATS-27,0.09,1.415,1.74,F,2.3,6438,,
HATS-28 b,0.672,1.194,3.1810781,0.04131,0.101,86.17,2016,Primary Transit,HATS-28,0.01,0.929,0.922,G,6.2,5498,,
HATS-29 b,0.653,1.251,4.6058749,0.05475,0.079,87.37,2016,Primary Transit,HATS-29,0.16,1.032,1.073,G,5.5,5670,,
HATS-3 b,1.071,1.381,3.547851,0.0485,,,2013,Primary Transit,HATS-3,-0.157,1.209,1.404,F,3.2,6351,,
HATS-30 b,0.706,1.175,3.1743516,0.04354,0.048,86.84,2016,Primary Transit,HATS-30,0.06,1.093,1.061,,2.3,5943,,
HATS-31 b,0.88,1.64,3.37796,0.0478,0.233,85,2016,Primary Transit,HATS-31,0,1.275,1.87,,4.3,6050,,
HATS-32 b,0.92,1.249,2.8126548,0.04024,0.471,87.1,2016,Primary Transit,HATS-32,0.39,1.099,1.097,,3.5,5700,,
HATS-33 b,1.192,1.23,2.5495551,0.03727,0.08,87.62,2016,Primary Transit,HATS-33,0.29,1.062,1.022,,3,5659,,
HATS-34 b,0.941,1.43,2.1061607,0.03166,0,82.28,2016,Primary Transit,HATS-34,0.25,0.955,0.98,,7.7,5380,,
HATS-35 b,1.222,1.464,1.8209933,0.03199,0,86.9,2016,Primary Transit,HATS-35,0.21,1.317,1.433,,2.13,6300,,
HATS-4 b,1.323,1.02,2.516729,0.0362,0.013,88.5,2014,Primary Transit,HATS-4,0.43,1.001,0.925,,2.1,5403,,
HATS-5 b,0.237,0.912,4.763387,0.0542,0.019,89.3,2014,Primary Transit,HATS-5,0.19,0.936,0.871,,3.6,5304,,
HATS-6 b,0.319,0.998,3.3252725,0.03623,,88.21,2014,Primary Transit,HATS-6,,0.574,0.57,M1V,,3724,,
HATS-7 b,0.12,0.563,3.185315,0.04012,0,87.92,2015,Primary Transit,HATS-7,0.25,0.849,0.815,K2,7.8,4985,,
HATS-8 b,0.138,0.873,3.583893,0.04667,0.38,87.8,2015,Primary Transit,HATS-8,0.21,1.056,1.086,G2V,5.1,5679,,
HATS-9 b,0.839,1.065,1.9153073,0.03048,0.129,86.5,2015,Primary Transit,HATS-9,0.34,1.03,1.5,,10.8,5336,,
HD 100655 b,1.7,,157.57,0.76,0.085,,2011,Radial Velocity,HD 100655,0.15,2.4,9.3,G9III,,4861,,
HD 100777 b,1.16,,383.7,1.03,0.36,,2007,Radial Velocity,HD 100777,0.27,1,,K0,2,5582,,
HD 10180 c,0.041217,,5.75979,0.0641,0.045,,2010,Radial Velocity,HD 10180,0.08,1.06,,G1V,4.3,5911,,
HD 10180 d,0.03696945,,16.3579,0.1286,0.088,,2010,Radial Velocity,HD 10180,0.08,1.06,,G1V,4.3,5911,,
HD 10180 e,0.07897304,,49.745,0.2699,0.026,,2010,Radial Velocity,HD 10180,0.08,1.06,,G1V,4.3,5911,,
HD 10180 f,0.07519743,,122.76,0.4929,0.135,,2010,Radial Velocity,HD 10180,0.08,1.06,,G1V,4.3,5911,,
HD 10180 g,0.06733159,,601.2,1.422,0.19,,2010,Radial Velocity,HD 10180,0.08,1.06,,G1V,4.3,5911,,
HD 10180 h,0.202624,,2222,3.4,0.08,,2010,Radial Velocity,HD 10180,0.08,1.06,,G1V,4.3,5911,,
HD 101930 b,0.3,,70.46,0.302,0.11,,2005,Radial Velocity,HD 101930,0.17,0.74,,K1 V,5.39,5079,,
HD 102117 b,0.172,,20.67,0.1532,0.106,,2004,Radial Velocity,HD 102117,0.3,1.03,1.27,G6V,6.21,5672,,
HD 102195 b,0.45,,4.113775,0.049,0,,2005,Radial Velocity,HD 102195,0.05,0.926,0.835,K0V,2.4,5291,,
HD 102272 b,5.9,,127.58,0.614,0.05,,2008,Radial Velocity,HD 102272,0.26,1.9,10.1,K0,,4908,,
HD 102272 c,2.6,,520,1.57,0.68,,2008,Radial Velocity,HD 102272,0.26,1.9,10.1,K0,,4908,,
HD 102329 b,5.9,,778.1,2.01,0.211,,2011,Radial Velocity,HD 102329,0.3,1.95,6.3,,1.6,4830,,
HD 102365 b,0.05,,122.1,0.46,0.34,,2011,Radial Velocity,HD 102365,-0.28,0.85,,G2V,9,5650,IR Excess,
HD 102956 b,0.96,,6.495,0.081,0.048,,2010,Radial Velocity,HD 102956,0.19,1.68,4.4,A,2.3,5054,,
HD 103197 b,0.098,,47.84,0.249,0,,2009,Radial Velocity,HD 103197,0.21,0.9,,K1V,9.1,5303,,
HD 103720 b,0.62,,4.5557,0.0498,0.086,,2014,Radial Velocity,HD 103720,-0.02,0.794,0.73,K3V,3.8,5017,,
HD 103774 b,0.367,,5.8881,0.07,0.09,,2013,Radial Velocity,HD 103774,0.28,1.335,,F5V,1.05,6489,,
HD 104067 b,0.186,,55.806,0.2643,0,,2009,Radial Velocity,HD 104067,-0.06,0.791,,K2V,4.33,4969,IR Excess,
HD 10442 b,2.1,,1043,2.335,0.11,,2014,Primary Transit,HD 10442,0.11,1.56,,K2 IV,,5034,,
HD 104985 b,8.3,,199.505,0.95,0.09,,2003,Radial Velocity,HD 104985,-0.35,1.6,10.87,G9 III,2.95,4786,,
HD 106252 b,32.9,,1600,2.7,0.47,166.7,2002,Radial Velocity,HD 106252,-0.078,0.96,1.09,G0,5.02,5754,,
HD 106270 b,11,,2890,4.3,0.402,,2011,Radial Velocity,HD 106270,0.08,1.32,2.5,G5,4.3,5638,,
HD 106315 b,0.025,0.199,9.5521,0.09012,0.3,88.4,2017,Primary Transit,HD 106315,-0.24,1.07,1.18,F5V,4,6290,,
HD 106315 c,0.063,0.352,21.0576,0.1526,0.23,89.42,2017,Primary Transit,HD 106315,-0.24,1.07,1.18,F5V,4,6290,,
HD 10647 b,0.93,,1003,2.03,0.1,,2003,Radial Velocity,HD 10647,-0.078,1.1,1.1,F8V,4.8,6039,Imaging,
HD 106515 A b,9.61,,3630,4.59,0.572,,2011,Radial Velocity,HD 106515 A,0.01,0.91,,G5,6,5232,,
HD 106906 b,11,,,654,,,2013,Imaging,HD 106906,,1.5,,F5V,0.013,6516,Imaging,
HD 10697 b,6.83,,1076.4,2.16,0.1,69,2000,Radial Velocity,HD 10697,0.1,1.15,1.72,G5 IV,6.9,5641,,
HD 107148 b,0.21,,48.056,0.269,0.05,,2006,Radial Velocity,HD 107148,0.314,1.12,,G5,5.6,5797,,
HD 108147 b,0.261,,10.8985,0.102,0.53,,2002,Radial Velocity,HD 108147,0.18,1.19,1.22,F8/G0 V,1.98,6067,,
HD 108341 b,3.5,,1129,2,0.85,,2014,Radial Velocity,HD 108341,0.04,0.843,0.79,K2V,4.9,5122,,
HD 108863 b,2.6,,443.4,1.4,0.1,,2011,Radial Velocity,HD 108863,0.2,1.85,5.6,K0,1.8,4956,,
HD 108874 b,1.36,,395.4,1.051,0.07,,2003,Radial Velocity,HD 108874,0.14,1,1.22,G5,7.26,5407,IR Excess,
HD 108874 c,1.018,,1605.8,2.68,0.25,,2005,Radial Velocity,HD 108874,0.14,1,1.22,G5,7.26,5407,IR Excess,
HD 109246 b,0.77,,68.27,0.33,0.12,,2010,Radial Velocity,HD 109246,0.1,1.01,1.02,GOV,,5844,,
HD 109271 b,0.054,,7.8543,0.079,0.25,,2013,Radial Velocity,HD 109271,0.1,1.047,,G5V,7.3,5783,,
HD 109271 c,0.076,,30.93,0.196,0.15,,2013,Radial Velocity,HD 109271,0.1,1.047,,G5V,7.3,5783,,
HD 109749 b,0.28,0.99,5.23921,0.0635,0.0451,,2005,Radial Velocity,HD 109749,0.25,1.2,,G3 IV,10.3,5610,,
HD 110014 b,10.7,,882.6,2.31,0.26,,2009,Radial Velocity,HD 110014,0.19,2.17,20.9,K2III,0.95,4445,,
HD 110014 c,3.1,,130,0.64,0.44,,2015,Radial Velocity,HD 110014,0.19,2.17,20.9,K2III,0.95,4445,,
HD 111232 b,6.8,,1143,1.97,0.2,,2004,Radial Velocity,HD 111232,-0.36,0.78,,G8V,5.2,5494,,
HD 113337 b,2.83,,324,0.92,0.46,,2013,Radial Velocity,HD 113337,0.07,1.4,1.5,,0.15,6577,,
HD 113538 b,0.36,,663.2,1.24,0.14,,2010,Radial Velocity,HD 113538,-0.24,0.585,0.53,K9V,4.3,4462,,
HD 113538 c,0.93,,1818,2.44,0.2,,2010,Radial Velocity,HD 113538,-0.24,0.585,0.53,K9V,4.3,4462,,
HD 114386 b,1.24,,937,1.02,0.23,,2003,Radial Velocity,HD 114386,0,0.75,0.76,K3 V,2.19,4819,,
HD 114386 c,1.19,,1046,,0.06,,2011,Radial Velocity,HD 114386,0,0.75,0.76,K3 V,2.19,4819,,
HD 114613 b,0.48,,3827,5.16,0.25,,2014,Radial Velocity,HD 114613,0.18,1.364,,G3-4,,5729,,
HD 114729 b,0.84,,1135,2.08,0.32,,2002,Radial Velocity,HD 114729,-0.22,0.93,1.46,G3 V,4.58,5662,,
HD 114762 b,10.98,,83.9151,0.353,0.3354,,1989,Radial Velocity,HD 114762,-0.71,0.84,1.24,F9V,11.8,5934,,
HD 114783 b,6.3,,493.7,1.16,0.144,10,2001,Radial Velocity,HD 114783,0.33,0.92,0.78,K0,3.7,5105,,
HD 11506 b,3.44,,1270,2.43,0.22,,2007,Radial Velocity,HD 11506,0.31,1.19,1.38,G0V,5.4,6058,,
HD 11506 c,0.82,,170.46,0.639,0.42,,2009,Radial Velocity,HD 11506,0.31,1.19,1.38,G0V,5.4,6058,,
HD 1160 b,79,,,80,,,2012,Imaging,HD 1160,-0.3,,,A0V,0.05,,,
HD 116029 b,2.1,,670.2,1.73,0.21,,2011,Radial Velocity,HD 116029,0.18,1.58,4.6,K1III,2.7,4951,,
HD 117207 b,2.06,,2627.08,3.78,0.16,,2004,Radial Velocity,HD 117207,0.27,1.07,1.09,G8VI/V,6.68,5432,,
HD 11755 b,6.5,,433.7,1.08,0.19,,2015,Radial Velocity,HD 11755,-0.74,0.9,27.3,G5,10.2,4312.5,,
HD 117618 b,0.178,,25.827,0.176,0.42,,2004,Radial Velocity,HD 117618,0.04,1.05,1.19,G2V,3.88,5861,,
HD 117618 c,0.2,,318,0.93,0,,2013,Radial Velocity,HD 117618,0.04,1.05,1.19,G2V,3.88,5861,,
HD 118203 b,2.14,1.05,6.13322,0.07,0.2943,,2005,Radial Velocity,HD 118203,0.1,1.23,,K0,4.6,5600,,
HD 119445 b,37.6,,410.2,1.71,0.082,,2009,Radial Velocity,HD 119445,0.04,3.9,20.5,G6,,5083,,
HD 11964 b,0.622,,1945,3.16,0.041,,2005,Radial Velocity,HD 11964,0.17,1.125,2.18,G5,9.56,5248,,
HD 11964 c,0.079,,37.91,0.229,0.3,,2005,Radial Velocity,HD 11964,0.17,1.125,2.18,G5,9.56,5248,,
HD 11977 b,6.29,,711,1.89,0.4,,2005,Radial Velocity,HD 11977,-0.21,1.91,13,G8.5 III,1.25,4975,,
HD 120084 b,4.5,,2082,4.3,0.66,,2013,Radial Velocity,HD 120084,0.09,2.39,9.12,G7 III,,4892,,
HD 121504 b,1.22,,63.33,0.33,0.03,,2003,Radial Velocity,HD 121504,0.16,1.18,,G2 V,1.62,6075,,
HD 122562 b,24,,2777,4.1,0.71,,2016,Radial Velocity,HD 122562,0.31,1.13,,G5,,4958,,
HD 12484 b,2.98,,58.83,0.297,0.07,,2016,Radial Velocity,HD 12484,0.05,1.01,,F8,,5920,,
HD 125595 b,0.042,,9.6737,0.0809,0,,2009,Radial Velocity,HD 125595,0.02,0.756,,K4V,3.53,4908,,
HD 125612 b,3,,502,1.37,0.46,,2007,Radial Velocity,HD 125612,0.24,1.1,1.05,G3V,2.1,5897,,
HD 125612 c,0.058,,4.1547,0.05,0.27,,2009,Radial Velocity,HD 125612,0.24,1.1,1.05,G3V,2.1,5897,,
HD 125612 d,7.2,,3008,4.2,0.28,,2009,Radial Velocity,HD 125612,0.24,1.1,1.05,G3V,2.1,5897,,
HD 12648 b,2.9,,133.6,0.54,0.04,,2015,Radial Velocity,HD 12648,-0.57,1.2,9.2,G5,4.5,4835.8,,
