,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
3019,KEPLER-793 B,Primary Transit,,4.24153639,,,,,,,0.122,,,2016,5745,0.98,0.97,,,0,,,
3020,KEPLER-794 B,Primary Transit,,11.13125132,,,,,,,0.188,,,2016,5839,1.19,1.38,,,0.34,,,
3021,KEPLER-795 B,Primary Transit,,29.6193421,,,,,,,0.15,,,2016,5631,0.94,0.96,,,-0.02,,,
3022,KEPLER-796 B,Primary Transit,,6.40087618,,,,,,,0.116,,,2016,5475,0.93,1.09,,,0.09,,,
3023,KEPLER-797 B,Primary Transit,,27.07237711,,,,,,,0.194,,,2016,5680,0.96,0.95,,,-0.02,,,
3024,KEPLER-798 B,Primary Transit,,13.71933369,,,,,,,0.213,,,2016,6224,1.19,1.29,,,0.03,,,
3025,KEPLER-799 B,Primary Transit,,133.4605235,,,,,,,0.614,,,2016,5681,0.95,0.93,,,-0.07,,,
3026,KEPLER-8 B,Primary Transit,,3.52254,0.0483,0,84.07,0.603,,,1.419,,,2010,6213,1.213,1.486,,,-0.055,,3.84,
3027,KEPLER-80 B,Primary Transit,,7.05,,,,0.0218,,,0.21,,,2012,4250,,0.738,,,-0.56,,,
3028,KEPLER-80 C,Primary Transit,,9.52,,,,0.0212,,,0.23,,,2012,4250,,0.738,,,-0.56,,,
3029,KEPLER-80 D,Primary Transit,,3.07,,,,0.0212,,,0.125,,,2012,4250,,0.738,,,-0.56,,,
3030,KEPLER-80 E,Primary Transit,,4.64,,,,0.013,,,0.134,,,2012,4250,,0.738,,,-0.56,,,
3031,KEPLER-80 F,Primary Transit,,0.99,,,,,,,0.116,,,2012,4250,,0.738,,,-0.56,,,
3032,KEPLER-800 B,Primary Transit,,14.13176026,,,,,,,0.254,,,2016,5315,0.85,0.82,,,-0.09,,,
3033,KEPLER-801 B,Primary Transit,,11.41928253,,,,,,,0.178,,,2016,4435,0.67,0.63,,,-0.17,,,
3034,KEPLER-802 B,Primary Transit,,40.0587473,,,,,,,0.316,,,2016,5507,0.93,0.9,,,0.06,,,
3035,KEPLER-803 B,Primary Transit,,50.28638192,,,,,,,0.338,,,2016,5919,1.05,1.12,,,0.02,,,
3036,KEPLER-804 B,Primary Transit,,14.37457351,,,,,,,0.173,,,2016,5817,1.01,1.05,,,0,,,
3037,KEPLER-804 C,Primary Transit,,9.65185017,,,,,,,0.102,,,2016,5817,1.01,1.05,,,0,,,
3038,KEPLER-805 B,Primary Transit,,30.8638931,,,,,,,0.258,,,2016,6112,1.19,1.65,,,-0.06,,,
3039,KEPLER-806 B,Primary Transit,,8.09219642,,,,,,,0.102,,,2016,5770,0.99,1.16,,,0,,,
3040,KEPLER-807 B,Primary Transit,,117.9310878,,,,,,,0.93,,,2016,5965,1.04,1.06,,,-0.04,,,
3041,KEPLER-808 B,Primary Transit,,0.63133235,,,,,,,0.13,,,2016,4653,0.76,0.71,,,0.05,,,
3042,KEPLER-809 B,Primary Transit,,55.63934,,,,,,,0.269,,,2016,5734,0.99,0.98,,,0.04,,,
3043,KEPLER-81 B,Primary Transit,,5.954893,0.056,0,85.94,,,,0.2269,,,2013,4391,0.648,0.578,,,-0.2,,,
3044,KEPLER-81 C,Primary Transit,,12.039901,0.089,0,87.66,,,,0.2188,,,2013,4391,0.648,0.578,,,-0.2,,,
3045,KEPLER-81 D,Primary Transit,,20.837846,0.128,,,,,,0.108,,,2014,4391,0.648,0.578,,,-0.2,,,
3046,KEPLER-810 B,Primary Transit,,4.59725385,,,,,,,0.172,,,2016,5803,1.03,1.04,,,0.1,,,
3047,KEPLER-811 B,Primary Transit,,23.58447697,,,,,,,0.241,,,2016,5747,1.01,1.24,,,0.05,,,
3048,KEPLER-812 B,Primary Transit,,10.11716531,,,,,,,0.317,,,2016,6761,1.45,1.71,,,0.02,,,
3049,KEPLER-813 B,Primary Transit,,19.12947337,,,,,,,0.191,,,2016,5743,0.95,0.93,,,-0.13,,,
3050,KEPLER-814 B,Primary Transit,,6.1469851,,,,,,,0.189,,,2016,6162,1.15,1.22,,,0.01,,,
3051,KEPLER-815 B,Primary Transit,,8.57503552,,,,,,,0.367,,,2016,5028,1.25,3.42,,,-0.03,,,
3052,KEPLER-816 B,Primary Transit,,10.50682565,,,,,,,0.914,,,2016,5286,0.9,0.85,,,0.16,,,
3053,KEPLER-817 B,Primary Transit,,3.99010623,,,,,,,0.806,,,2016,5861,1.03,1.03,,,0.02,,,
3054,KEPLER-818 B,Primary Transit,,10.03538581,,,,,,,0.456,,,2016,5638,0.94,0.92,,,-0.08,,,
3055,KEPLER-819 B,Primary Transit,,33.1995648,,,,,,,0.246,,,2016,5279,0.86,0.81,,,-0.06,,,
3056,KEPLER-82 B,Primary Transit,,26.443794,0.169,0,89.38,,,,0.367,,,2011,5428,0.85,0.945,,,0.15,,,
3057,KEPLER-82 C,Primary Transit,,51.531855,0.264,0,89.95,,,,0.503,,,2011,5428,0.85,0.945,,,0.15,,,
3058,KEPLER-82 D,Primary Transit,,2.382961,0.034,,,,,,0.158,,,2011,5428,0.85,0.945,,,0.15,,,
3059,KEPLER-82 E,Primary Transit,,5.902206,0.063,,,,,,0.22,,,2011,5428,0.85,0.945,,,0.15,,,
3060,KEPLER-820 B,Primary Transit,,127.8338098,,,,,,,0.543,,,2016,6260,1.23,1.36,,,0.09,,,
3061,KEPLER-821 B,Primary Transit,,1.92279873,,,,,,,0.117,,,2016,5191,0.84,0.8,,,-0.03,,,
3062,KEPLER-822 B,Primary Transit,,3.22296927,,,,,,,0.158,,,2016,5928,1.06,1.08,,,0.04,,,
3063,KEPLER-823 B,Primary Transit,,4.16809082,,,,,,,0.14,,,2016,5643,0.98,0.96,,,0.06,,,
3064,KEPLER-824 B,Primary Transit,,4.51436633,,,,,,,0.167,,,2016,6035,1.15,1.22,,,0.14,,,
3065,KEPLER-825 B,Primary Transit,,3.77360059,,,,,,,0.136,,,2016,5976,1.03,1.08,,,-0.08,,,
3066,KEPLER-825 C,Primary Transit,,8.1818246,,,,,,,0.164,,,2016,5976,1.03,1.08,,,-0.08,,,
3067,KEPLER-826 B,Primary Transit,,4.48758907,,,,,,,0.112,,,2016,6079,1.05,1.15,,,-0.12,,,
3068,KEPLER-827 B,Primary Transit,,51.92927591,,,,,,,0.502,,,2016,5602,0.93,0.91,,,-0.06,,,
3069,KEPLER-828 B,Primary Transit,,0.56785714,,,,,,,0.135,,,2016,5039,0.81,0.77,,,-0.02,,,
3070,KEPLER-829 B,Primary Transit,,6.88337562,,,,,,,0.188,,,2016,5698,0.98,0.97,,,0.03,,,
3071,KEPLER-83 B,Primary Transit,,9.770513,0.078,0,88.24,,,,0.209,,,2013,4164,0.664,0.539,,,-0.2,,,
3072,KEPLER-83 C,Primary Transit,,20.08976,0.126,0,88.81,,,,0.1733,,,2013,4164,0.664,0.539,,,-0.2,,,
