NAME,A,MASS,R,ECC,PER,I,OM,T0,DATE,DENSITY,PLANETDISCMETH,MSTAR,RSTAR,TEFF,FE,RHOSTAR
,au,mjupiter,rjupiter,,day,deg,deg,jd,,g/cm^3,,msun,rsun,k,,g/cm^3
Kepler-995 b,0.170669,0.0222358,0.241,0,28.26731672,,90,,2016,,Transit,0.83,0.8,5206,-0.07,
HD 156411 b,1.87545,0.732711,,0.22,842.2,,45,2454356,2010,,RV,1.24,1.85525,5910,-0.11,
Kepler-1196 b,0.318069,0.0167991,0.199,0,66.1849031,,90,,2016,,Transit,0.98,0.97,5756,0,
HATS-3 b,0.0485119,1.0735,1.381,0,3.547851,86.2,90,2456155.096734,2013,0.540462,Transit,1.209,1.404,6351,-0.157,
Kepler-101 b,0.0450089,0.115399,0.523686,,3.487691,,90,2455003.9,2014,,Transit,,1.666,5570,,
Kepler-536 b,0.0284473,0.028747,0.277,0,1.8270823,,90,,2016,,Transit,0.92,0.89,5524,0,
Kepler-680 b,0.0479468,0.0187628,0.216,0,3.68992629,,90,,2016,,Transit,1.08,1.11,5890,0.13,
91 Aqr b,0.688457,3.07016,,0.027,181.4,,177.3,2453472.1,2013,,RV,1.32,11,4681,0,
Kepler-362 b,0.0928099,0.0018494,0.0785083,,10.327186,,90,2454972.3793,2014,,Transit,,0.722,5788,,
Kepler-301 b,0.0361317,0.00829825,0.120439,,2.508553,,90,2454968.0101,2014,,Transit,,0.9,5815,,
Kepler-1126 b,0.433249,0.0127496,0.154,0,108.593329,,90,,2016,,Transit,0.92,0.93,5798,-0.26,
Kepler-860 b,0.0587592,0.0313841,0.289,0,5.10137945,,90,,2016,,Transit,1.04,1.06,5836,0.09,
Kepler-403 b,0.0718296,0.00638668,0.111518,,7.031462,,90,2454967.45161,2014,,Transit,,1.329,6090,,
Kepler-676 b,0.0801169,0.0275214,0.271,0,11.59822172,,90,,2016,,Transit,0.51,0.49,3701,-0.02,
Kepler-1596 b,0.315387,0.014034,0.17,0,66.373379,,90,,2016,,Transit,0.95,0.92,5706,-0.11,
Kepler-404 c,0.117713,0.0127076,0.153448,,14.751166,,90,2454970.1376,2014,,Transit,,0.884,5654,,
Kepler-279 b,0.104337,0.0403249,0.322955,,12.309681,,90,2454970.68644,2014,,Transit,,1.746,6363,,
HD 27894 b,0.122117,0.617925,,0.049,17.990999,,132.9,2453275.46,2005,,RV,0.75,1.20255,4875,0.3,
Kepler-1256 b,0.110556,0.0115494,0.133,0,12.4127754,,90,,2016,,Transit,1.17,1.36,6129,0.05,
HD 156279 b,0.494507,9.7848,,0.708,131.05,,264.2,2455525.59,2012,,RV,0.93,0.958138,5453,0.14,
Kepler-411 c,0.07255,0.0320836,0.292,0,7.83442788,,90,,2016,,Transit,0.83,0.79,4974,0.23,
Kepler-207 d,0.0636703,0.032872,0.295298,,5.868075,,90,2455003.32243,2014,,Transit,,1.588,5920,,
Kepler-502 b,0.0541085,0.0754224,0.426,0,4.28686431,,90,,2016,,Transit,1.15,1.22,6125,0.05,
Kepler-297 c,0.347807,0.117213,0.58346,,74.920137,,90,2454958.0377,2014,,Transit,,0.915,5619,,
Kepler-436 c,0.115577,0.0178026,0.208,0,16.79713874,,90,,2016,,Transit,0.73,0.7,4651,0.01,
Kepler-345 b,0.0744222,0.00100422,0.0660184,,7.415563,,90,2454970.81508,2014,,Transit,,0.623,4504,,
Kepler-1449 b,0.112305,0.0124487,0.15,0,13.2274528,,90,,2016,,Transit,1.08,1.1,5979,0.04,
61 Vir d,0.474527,0.0715929,,0.35,123.01,,314,2453350.031126736,2010,,RV,0.942,0.978547,5571,0.05,
Kepler-141 c,0.0716875,0.00960182,0.125792,,7.010606,,90,2455007.57599,2014,,Transit,,0.787,4910,,
Kepler-1399 b,0.026927,0.00648186,0.112,0,1.63865306,,90,,2016,,Transit,0.97,0.96,5735,-0.03,
HD 179079 b,0.119635,0.0837774,,0.115,14.476,,357,2454400.5,2009,,RV,1.09,1.33814,5724,0.29,
Kepler-504 b,0.060873,0.0118667,0.142,0,9.54927542,,90,,2016,,Transit,0.33,0.33,3519,-0.31,
