NAME,Semi-eje (UA),Masa pl (Mjup),Rpl (R jup),Densidad pl (gr/cm^3),Periodo (dias),excentricidad,I deg,Año,Nombre estr,Masa estr (Msol),Radio estr (Rsol),Teff,Densidad estr g/cm^3,Metalicidad,Metodo
Kepler-1417 b,0.146844,0.00289089,0.089,,20.3505213,0,,2016,Kepler-1417,1.02,1.02,5839,,0.02,Transit
Kepler-1418 b,0.142864,0.0123008,0.148,,22.4764425,0,,2016,Kepler-1418,0.77,0.72,4770,,0,Transit
Kepler-1419 b,0.239214,0.024536,0.255,,42.5215895,0,,2016,Kepler-1419,1.01,1.01,5796,,0.04,Transit
Kepler-142 b,0.0313162,0.014692,0.177536,,2.024152,,,2014,Kepler-142,,1.269,5790,,,Transit
Kepler-142 c,0.0553921,0.0245625,0.255152,,4.761702,,,2014,Kepler-142,,1.269,5790,,,Transit
Kepler-142 d,0.235751,0.0161415,0.192702,,41.809118,,,2014,Kepler-142,,1.269,5790,,,Transit
Kepler-1420 b,0.0650994,0.00688654,0.114,,6.69960006,0,,2016,Kepler-1420,0.82,0.79,5187,,-0.1,Transit
Kepler-1421 b,0.0765054,0.00225358,0.083,,6.9131112,0,,2016,Kepler-1421,1.25,1.42,6335,,0.05,Transit
Kepler-1422 b,0.143967,0.0149156,0.18,,18.6051942,0,,2016,Kepler-1422,1.15,1.23,6194,,0,Transit
Kepler-1423 b,0.150343,0.00364938,0.095,,23.955378,0,,2016,Kepler-1423,0.79,0.75,4939,,-0.02,Transit
Kepler-1424 b,0.188549,0.00485109,0.103,,29.6091744,0,,2016,Kepler-1424,1.02,1.07,5838,,0.01,Transit
Kepler-1425 b,0.114954,0.00235177,0.084,,14.4541302,0,,2016,Kepler-1425,0.97,0.95,5718,,-0.03,Transit
Kepler-1426 b,0.115827,0.0116544,0.139,,14.2563227,0,,2016,Kepler-1426,1.02,1.02,5831,,0.03,Transit
Kepler-1427 b,0.0192274,0.00407386,0.098,,0.96897238,0,,2016,Kepler-1427,1.01,1.01,5793,,0.06,Transit
Kepler-1428 b,0.103027,0.0121546,0.146,,10.67607169,0,,2016,Kepler-1428,1.28,1.36,6184,,0.35,Transit
Kepler-1429 b,0.0540966,0.00709482,0.115,,4.48487493,0,,2016,Kepler-1429,1.05,1.07,5902,,0.04,Transit
Kepler-143 b,0.124306,0.0186399,0.215006,,16.007583,,,2014,Kepler-143,,1.359,5848,,,Transit
Kepler-143 c,0.176495,0.0341953,0.300651,,27.082511,,,2014,Kepler-143,,1.359,5848,,,Transit
Kepler-1430 b,0.0326929,0.00518721,0.105,,2.46050993,0,,2016,Kepler-1430,0.77,0.72,4796,,-0.03,Transit
Kepler-1431 b,0.0642857,0.0109866,0.131,,5.86601526,0,,2016,Kepler-1431,1.03,1.03,5806,,0.07,Transit
Kepler-1432 b,0.167165,0.0166923,0.198,,23.9109011,0,,2016,Kepler-1432,1.09,1.13,6031,,0.02,Transit
Kepler-1433 b,0.0526772,0.0116544,0.139,,4.13592271,0,,2016,Kepler-1433,1.14,1.19,6097,,0.07,Transit
